Round,Wk,Day,Home,xG,Score,xGA,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,2,Wed,Atletico Madrid,1.4,1–2,2.5,Chelsea,60643,Estadio Wanda Metropolitano,Cüneyt Çakιr,Match Report,
Group stage,2,Wed,Juventus,2.3,2–0,0.5,Olympiacos,33460,Allianz Stadium,Tobias Stieler,Match Report,
Group stage,2,Wed,Basel,3.2,5–0,0.4,Benfica,34111,St. Jakob-Park,Craig Thomson,Match Report,
Group stage,2,Wed,Paris S-G,2,3–0,1,Bayern Munich,46252,Parc des Princes,Antonio Mateu Lahoz,Match Report,
Group stage,2,Wed,Anderlecht,0.6,0–3,1.2,Celtic,19898,Stade Constant Vanden Stock,Jesús Gil,Match Report,
Group stage,3,Tue,Manchester City,2.7,2–1,2.2,Napoli,48520,Etihad Stadium,Antonio Mateu Lahoz,Match Report,
Group stage,3,Tue,Feyenoord,1.6,1–2,1.3,Shakhtar,43500,Stadion Feijenoord,Alberto Undiano,Match Report,
Group stage,3,Tue,Monaco,0.7,1–2,1.2,Besiktas,7403,Stade Louis II,Milorad Mažić,Match Report,
Group stage,3,Tue,RB Leipzig,2.5,3–2,1.1,Porto,41496,Red Bull Arena,Paolo Tagliavento,Match Report,
Group stage,3,Tue,Real Madrid,2.9,1–1,0.9,Tottenham,76589,Estadio Santiago Bernabeu,Szymon Marciniak,Match Report,
Group stage,3,Tue,NK Maribor,0.4,0–7,4.6,Liverpool,12506,Ljudski vrt,Viktor Kassai,Match Report,
Group stage,3,Tue,Spartak Moscow,1.7,5–1,1.3,Sevilla,44307,Otkrytie Arena,Gianluca Rocchi,Match Report,
Group stage,3,Tue,APOEL FC,1,1–1,2.1,Dortmund,15604,Neo GSP,Aliaksei Kulbakov,Match Report,
Group stage,3,Wed,Benfica,0.5,0–1,0.6,Manchester Utd,57684,Estadio do Sport Lisboa e Benfica,Felix Zwayer,Match Report,
Group stage,3,Wed,Chelsea,1.6,3–3,1.6,Roma,41105,Stamford Bridge,Damir Skomina,Match Report,
Group stage,3,Wed,Qarabag,0.4,0–0,1.9,Atletico Madrid,47923,Baki Olimpiya Stadionu,Ruddy Buquet,Match Report,
Group stage,3,Wed,Barcelona,3.5,3–1,0.2,Olympiacos,55026,Camp Nou,William Collum,Match Report,
Group stage,3,Wed,Anderlecht,1.2,0–4,3.3,Paris S-G,19108,Stade Constant Vanden Stock,Pavel Kralovec,Match Report,
Group stage,3,Wed,Bayern Munich,3.2,3–0,0.6,Celtic,70000,Allianz Arena,Sergey Karasev,Match Report,
Group stage,3,Wed,Juventus,1.5,2–1,0.5,Sporting CP,36288,Allianz Stadium,Michael Oliver,Match Report,
Group stage,3,Wed,CSKA Moscow,0.4,0–2,1.4,Basel,27996,VEB Arena,Björn Kuipers,Match Report,
Group stage,4,Tue,Celtic,1.4,1–2,0.7,Bayern Munich,58269,Celtic Park,Danny Makkelie,Match Report,
Group stage,4,Tue,Sporting CP,0.5,1–1,2,Juventus,48442,Estadio Jose Alvalade,Clement Turpin,Match Report,
Group stage,4,Tue,Manchester Utd,2.7,2–0,0.9,Benfica,74437,Old Trafford,Gediminas Mažeika,Match Report,
Group stage,4,Tue,Paris S-G,2.6,5–0,0.2,Anderlecht,46403,Parc des Princes,David Fernandez,Match Report,
Group stage,4,Tue,Atletico Madrid,3.2,1–1,0.2,Qarabag,55893,Estadio Wanda Metropolitano,Deniz Aytekin,Match Report,
Group stage,4,Tue,Roma,1.5,3–0,1.3,Chelsea,55036,Stadio Olimpico,Jonas Eriksson,Match Report,
Group stage,4,Tue,Basel,1.2,1–2,1.3,ru CSKA Moscow,33303,St. Jakob-Park,Milorad Mažić,Match Report,
Group stage,4,Tue,Olympiacos,0.3,0–0,1.8,Barcelona,31600,Stadio Georgios Karaiskaki,Anthony Taylor,Match Report,
Group stage,4,Wed,Tottenham,2.3,3–1,2.2,Real Madrid,83782,Wembley Stadium,Cüneyt Çakιr,Match Report,
Group stage,4,Wed,Porto,1.8,3–1,0.6,RB Leipzig,41616,Estadio Do Dragão,Ovidiu Hațegan,Match Report,
Group stage,4,Wed,Liverpool,2.7,3–0,0.3,NK Maribor,47957,Anfield,Ivan Kružliak,Match Report,
Group stage,4,Wed,Besiktas,1.3,1–1,1,Monaco,39346,Vodafone Arena,Paolo Tagliavento,Match Report,
Group stage,4,Wed,Sevilla,0.9,2–1,1.2,ru Spartak Moscow,38002,Estadio Ramón Sanchez Pizjuan,Artur Soares Dias,Match Report,
Group stage,4,Wed,Dortmund,2.8,1–1,0.6,APOEL FC,64500,Fußballpark BVB Hohenbuschei,Matej Jug,Match Report,
Group stage,4,Wed,Napoli,2.1,2–4,1.4,Manchester City,44483,Stadio San Paolo,Felix Brych,Match Report,
Group stage,4,Wed,Shakhtar,2.6,3–1,1,Feyenoord,24570,Oblasny SportKomplex Metalist,Tasos Sidiropoulos,Match Report,
Group stage,5,Tue,Manchester City,1.3,1–0,0.3,Feyenoord,43548,Etihad Stadium,Ivan Kružliak,Match Report,
Group stage,5,Tue,Besiktas,0.7,1–1,0.7,Porto,36919,Vodafone Arena,Antonio Mateu Lahoz,Match Report,
Group stage,5,Tue,Spartak Moscow,1.4,1–1,1.2,NK Maribor,42920,Otkrytie Arena,William Collum,Match Report,
Group stage,5,Tue,Sevilla,1.9,3–3,2.3,Liverpool,39495,Estadio Ramón Sanchez Pizjuan,Felix Brych,Match Report,
Group stage,5,Tue,Napoli,1.9,3–0,0.5,Shakhtar,10573,Stadio San Paolo,Damir Skomina,Match Report,
Group stage,5,Tue,Dortmund,1.1,1–2,1.1,Tottenham,65849,Signal Iduna Park,Clement Turpin,Match Report,
Group stage,5,Tue,Monaco,0.8,1–4,1.5,RB Leipzig,9029,Stade Louis II,Alberto Undiano,Match Report,
Group stage,5,Tue,APOEL FC,0.5,0–6,3.7,Real Madrid,19705,Neo GSP,Artur Soares Dias,Match Report,
Group stage,5,Wed,Sporting CP,2,3–1,0.4,Olympiacos,42528,Estadio Jose Alvalade,Felix Zwayer,Match Report,
Group stage,5,Wed,CSKA Moscow,1,2–0,1,Benfica,27709,VEB Arena,Deniz Aytekin,Match Report,
Group stage,5,Wed,Juventus,0.5,0–0,0.9,Barcelona,40876,Allianz Stadium,Milorad Mažić,Match Report,
Group stage,5,Wed,Basel,1.1,1–0,1.5,Manchester Utd,36000,St. Jakob-Park,Daniele Orsato,Match Report,
Group stage,5,Wed,Anderlecht,1.8,1–2,2.2,Bayern Munich,19753,Stade Constant Vanden Stock,Anthony Taylor,Match Report,
Group stage,5,Wed,Paris S-G,2.8,7–1,0.3,Celtic,46288,Parc des Princes,Tasos Sidiropoulos,Match Report,
Group stage,5,Wed,Atletico Madrid,1.4,2–0,0.5,Roma,56253,Estadio Wanda Metropolitano,Björn Kuipers,Match Report,
Group stage,5,Wed,Qarabag,0.2,0–4,3.9,Chelsea,67100,Baki Olimpiya Stadionu,Jorge de Sousa,Match Report,
Group stage,6,Tue,Chelsea,2.9,1–1,1,Atletico Madrid,40875,Stamford Bridge,Danny Makkelie,Match Report,
Group stage,6,Tue,Celtic,0.8,0–1,0.7,Anderlecht,57931,Celtic Park,Matej Jug,Match Report,
Group stage,6,Tue,Manchester Utd,2.9,2–1,0.8,ru CSKA Moscow,74669,Old Trafford,Gianluca Rocchi,Match Report,
Group stage,6,Tue,Benfica,1.4,0–2,1.4,Basel,22470,Estadio do Sport Lisboa e Benfica,Jesús Gil,Match Report,
Group stage,6,Tue,Barcelona,1.2,2–0,1,Sporting CP,48336,Camp Nou,Craig Thomson,Match Report,
Group stage,6,Tue,Roma,1.9,1–0,0.4,Qarabag,34258,Stadio Olimpico,Tobias Stieler,Match Report,
Group stage,6,Tue,Bayern Munich,1.8,3–1,1.9,Paris S-G,70000,Allianz Arena,Cüneyt Çakιr,Match Report,
Group stage,6,Tue,Olympiacos,1,0–2,1.5,Juventus,29567,Stadio Georgios Karaiskaki,David Fernandez,Match Report,
Group stage,6,Wed,Tottenham,2.3,3–0,0.6,APOEL FC,42679,Wembley Stadium,Slavko Vinčić,Match Report,
Group stage,6,Wed,Porto,1.9,5–2,1.7,Monaco,42509,Estadio Do Dragão,Jonas Eriksson,Match Report,
Group stage,6,Wed,Liverpool,4.2,7–0,0.6,ru Spartak Moscow,48779,Anfield,Szymon Marciniak,Match Report,
Group stage,6,Wed,RB Leipzig,3,1–2,1.8,Besiktas,42558,Red Bull Arena,Viktor Kassai,Match Report,
Group stage,6,Wed,Feyenoord,0.7,2–1,1.3,Napoli,36500,Stadion Feijenoord,Michael Oliver,Match Report,
Group stage,6,Wed,NK Maribor,0.8,1–1,1.7,Sevilla,11976,Ljudski vrt,Ovidiu Hațegan,Match Report,
Group stage,6,Wed,Real Madrid,2.7,3–2,1.7,Dortmund,73323,Estadio Santiago Bernabeu,Pavel Kralovec,Match Report,
Group stage,6,Wed,Shakhtar,1.7,2–1,1.7,Manchester City,33154,Oblasny SportKomplex Metalist,Benoît Bastien,Match Report,
Round of 16,,Tue,Basel,1,0–4,0.7,Manchester City,36000,St. Jakob-Park,Jonas Eriksson,Match Report,Leg 1 of 2
Round of 16,,Tue,Juventus,2.5,2–2,1.8,Tottenham,41232,Allianz Stadium,Felix Brych,Match Report,Leg 1 of 2
Round of 16,,Wed,Porto,0.5,0–5,2.6,Liverpool,47718,Estadio Do Dragão,Daniele Orsato,Match Report,Leg 1 of 2
Round of 16,,Wed,Real Madrid,2.4,3–1,1,Paris S-G,78158,Estadio Ramón Sanchez Pizjuan,Gianluca Rocchi,Match Report,Leg 1 of 2
Round of 16,,Tue,Chelsea,0.5,1–1,0.6,Barcelona,37741,Stamford Bridge,Cüneyt Çakιr,Match Report,Leg 1 of 2
Round of 16,,Tue,Bayern Munich,4.9,5–0,0.3,Besiktas,70000,Allianz Arena,Ovidiu Hațegan,Match Report,Leg 1 of 2
Round of 16,,Wed,Sevilla,2,0–0,0.7,Manchester Utd,39725,Estadio Ramón Sanchez Pizjuan,Clement Turpin,Match Report,Leg 1 of 2
Round of 16,,Wed,Shakhtar,1.7,2–1,1.8,Roma,35124,Oblasny SportKomplex Metalist,William Collum,Match Report,Leg 1 of 2
Round of 16,,Tue,Liverpool,1.6,0–0,0.6,Porto,48768,Anfield,Felix Zwayer,Match Report,Leg 2 of 2; Liverpool won
Round of 16,,Tue,Paris S-G,1.1,1–2,2.2,Real Madrid,46585,Parc des Princes,Felix Brych,Match Report,Leg 2 of 2; Real Madrid won
Round of 16,,Wed,Tottenham,1.7,1–2,1.5,Juventus,84010,Wembley Stadium,Szymon Marciniak,Match Report,Leg 2 of 2; Juventus won
Round of 16,,Wed,Manchester City,1.6,1–2,0.6,Basel,49411,Etihad Stadium,Pavel Kralovec,Match Report,Leg 2 of 2; Manchester City won
Round of 16,,Tue,Manchester Utd,1.9,1–2,1.7,Sevilla,74909,Old Trafford,Danny Makkelie,Match Report,Leg 2 of 2; Sevilla won
Round of 16,,Tue,Roma,0.7,1–0,0.2,Shakhtar,47693,Stadio Olimpico,Alberto Undiano,Match Report,Leg 2 of 2; Roma won
Round of 16,,Wed,Besiktas,1.2,1–3,2.1,Bayern Munich,36885,Vodafone Arena,Michael Oliver,Match Report,Leg 2 of 2; Bayern Munich won
Round of 16,,Wed,Barcelona,1,3–0,0.7,Chelsea,97183,Camp Nou,Damir Skomina,Match Report,Leg 2 of 2; Barcelona won
Quarter-finals,,Tue,Sevilla,0.9,1–2,1.4,Bayern Munich,40635,Estadio Ramón Sanchez Pizjuan,Daniele Orsato,Match Report,Leg 1 of 2
Quarter-finals,,Tue,Juventus,1.6,0–3,3.1,Real Madrid,40849,Allianz Stadium,Cüneyt Çakιr,Match Report,Leg 1 of 2
Quarter-finals,,Wed,Liverpool,1.6,3–0,0.6,Manchester City,50685,Anfield,Felix Brych,Match Report,Leg 1 of 2
Quarter-finals,,Wed,Barcelona,1.9,4–1,1.7,Roma,90106,Camp Nou,Danny Makkelie,Match Report,Leg 1 of 2
Quarter-finals,,Tue,Manchester City,1.2,1–2,0.8,Liverpool,53461,Etihad Stadium,Antonio Mateu Lahoz,Match Report,Leg 2 of 2; Liverpool won
Quarter-finals,,Tue,Roma,2.7,3–0,0.9,Barcelona,56580,Stadio Olimpico,Clement Turpin,Match Report,Leg 2 of 2; Roma won
Quarter-finals,,Wed,Bayern Munich,1.2,0–0,0.6,Sevilla,70000,Allianz Arena,William Collum,Match Report,Leg 2 of 2; Bayern Munich won
Quarter-finals,,Wed,Real Madrid,2.7,1–3,2.7,Juventus,75796,Estadio Santiago Bernabeu,Michael Oliver,Match Report,Leg 2 of 2; Real Madrid won
Semi-finals,,Tue,Liverpool,3.7,5–2,1.9,Roma,51236,Anfield,Felix Brych,Match Report,Leg 1 of 2
Semi-finals,,Wed,Bayern Munich,1.9,1–2,0.7,Real Madrid,70000,Allianz Arena,Björn Kuipers,Match Report,Leg 1 of 2
Semi-finals,,Tue,Real Madrid,1.8,2–2,3,Bayern Munich,77459,Estadio Santiago Bernabeu,Cüneyt Çakιr,Match Report,Leg 2 of 2; Real Madrid won
Semi-finals,,Wed,Roma,2.4,4–2,1.6,Liverpool,61889,Stadio Olimpico,Damir Skomina,Match Report,Leg 2 of 2; Liverpool won
Final,,Sat,Real Madrid,1.5,3–1,1.9,Liverpool,61561,NSK Olimpijs'kyj (Neutral Site),Milorad Mažić,Match Report,
Group stage,1,Tue,Barcelona,1.5,4–0,0.7,PSV Eindhoven,73462,Camp Nou,Tasos Sidiropoulos,Match Report,
Group stage,1,Tue,Inter,1.2,2–1,0.8,Tottenham,64123,Stadio Giuseppe Meazza,Ruddy Buquet,Match Report,
Group stage,1,Tue,Liverpool,2.3,3–2,0.8,Paris S-G,52478,Anfield,Baris simsek,Match Report,
Group stage,1,Tue,Red Star,0.2,0–0,1.6,Napoli,49112,Stadion Rajko Mitić,Tomasz Musiał,Match Report,
Group stage,1,Tue,Club Brugge,0.6,0–1,1,Dortmund,25181,Jan Breydelstadion,Danny Makkelie,Match Report,
Group stage,1,Tue,Monaco,0.7,1–2,0.9,Atletico Madrid,10575,Stade Louis II,William Collum,Match Report,
Group stage,1,Tue,Schalke 04,0.9,1–1,2.2,Porto,45755,Veltins-Arena,Ricardo de Burgos,Match Report,
Group stage,1,Tue,Galatasaray,1.8,3–0,0.9,ru Loko Moscow,43542,Türk Telekom Arena,Luca Banti,Match Report,
Group stage,1,Wed,Ajax,1.7,3–0,0.4,AEK Athens,52285,Johan Cruyff ArenA,Carlos del Cerro,Match Report,
Group stage,1,Wed,Shakhtar,0.6,2–2,1.8,Hoffenheim,28336,Oblasny SportKomplex Metalist,Jakob Kehlet,Match Report,
Group stage,1,Wed,Manchester City,1.2,1–2,0.8,Lyon,40111,Etihad Stadium,Daniele Orsato,Match Report,
Group stage,1,Wed,Benfica,0.7,0–2,2.4,Bayern Munich,60274,Estadio do Sport Lisboa e Benfica,Antonio Mateu Lahoz,Match Report,
Group stage,1,Wed,Valencia,2,0–2,3.7,Juventus,46067,Estadio de Mestalla,Felix Brych,Match Report,
Group stage,1,Wed,Real Madrid,3.5,3–0,0.6,Roma,69251,Estadio Santiago Bernabeu,Björn Kuipers,Match Report,
Group stage,1,Wed,Young Boys,1.7,0–3,2,Manchester Utd,31120,Stade de Suisse Wankdorf Bern,Deniz Aytekin,Match Report,
Group stage,1,Wed,Viktoria Plzen,1.5,2–2,1.7,ru CSKA Moscow,11312,Doosan Arena,Benoît Bastien,Match Report,
Group stage,2,Tue,Hoffenheim,0.6,1–2,2.2,Manchester City,24851,PreZero Arena,Matej Jug,Match Report,
Group stage,2,Tue,Juventus,3.3,3–0,0.2,Young Boys,40961,Allianz Stadium,Sergey Karasev,Match Report,
Group stage,2,Tue,Manchester Utd,0.9,0–0,0.4,Valencia,73569,Old Trafford,Slavko Vinčič,Match Report,
Group stage,2,Tue,Bayern Munich,1.5,1–1,1.2,Ajax,70000,Allianz Arena,Pavel Kralovec,Match Report,
Group stage,2,Tue,Lyon,2.8,2–2,1.6,Shakhtar,,Groupama Stadium,Aleksandrs Golubevs,Match Report,
Group stage,2,Tue,Roma,3.1,5–0,0.3,Viktoria Plzen,41243,Stadio Olimpico,Paweł Raczkowski,Match Report,
Group stage,2,Tue,CSKA Moscow,0.4,1–0,2.2,Real Madrid,71811,VEB Arena,Ovidiu Hațegan,Match Report,
Group stage,2,Tue,AEK Athens,2.8,2–3,1.2,Benfica,31154,Olympiako Stadio Spyros Louis,Orel Grinfeeld,Match Report,
Group stage,2,Wed,Paris S-G,5.4,6–1,0.3,Red Star,39979,Parc des Princes,Artur Dias,Match Report,
Group stage,2,Wed,Loko Moscow,0.7,0–1,1,Schalke 04,21471,RZD Arena,Anthony Taylor,Match Report,
Group stage,2,Wed,Porto,1.8,1–0,1.5,Galatasaray,42711,Estadio Do Dragão,Michael Oliver,Match Report,
Group stage,2,Wed,Tottenham,0.5,2–4,1.4,Barcelona,82137,Wembley Stadium,Tobias Stieler,Match Report,
Group stage,2,Wed,Dortmund,3.2,3–0,0.5,Monaco,66099,Signal Iduna Park,Aliaksei Kulbakou,Match Report,
Group stage,2,Wed,PSV Eindhoven,0.7,1–2,2.6,Inter,34750,Philips Stadion,Danilo Grujić,Match Report,
Group stage,2,Wed,Napoli,1.9,1–0,0.1,Liverpool,37057,Stadio San Paolo,Sandor Andó-Szabó,Match Report,
Group stage,2,Wed,Atletico Madrid,1.8,3–1,0.6,Club Brugge,55742,Estadio Wanda Metropolitano,Filip Glova,Match Report,
Group stage,3,Tue,Young Boys,1.9,1–1,0.9,Valencia,31120,Stade de Suisse Wankdorf Bern,Aleksandrs Anufrijevs,Match Report,
Group stage,3,Tue,AEK Athens,0.3,0–2,2.3,Bayern Munich,61221,Olympiako Stadio Spyros Louis,Aliaksei Kulbakou,Match Report,
Group stage,3,Tue,Manchester Utd,0.3,0–1,1.3,Juventus,73946,Old Trafford,Danilo Grujić,Match Report,
Group stage,3,Tue,Real Madrid,2.6,2–1,1.6,Viktoria Plzen,67356,Estadio Santiago Bernabeu,Orel Grinfeeld,Match Report,
Group stage,3,Tue,Roma,2.3,3–0,0.5,ru CSKA Moscow,46005,Stadio Olimpico,Tasos Sidiropoulos,Match Report,
Group stage,3,Tue,Hoffenheim,4.1,3–3,1.5,Lyon,24144,PreZero Arena,Alberto Undiano,Match Report,
Group stage,3,Tue,Ajax,1.5,1–0,0.7,Benfica,52489,Johan Cruyff ArenA,Ruddy Buquet,Match Report,
Group stage,3,Tue,Shakhtar,1.1,0–3,2.6,Manchester City,37106,Oblasny SportKomplex Metalist,Carlos del Cerro,Match Report,
Group stage,3,Wed,Club Brugge,1.5,1–1,0.8,Monaco,23957,Jan Breydelstadion,Michael Oliver,Match Report,
Group stage,3,Wed,PSV Eindhoven,0.9,2–2,2,Tottenham,35000,Philips Stadion,Slavko Vinčič,Match Report,
Group stage,3,Wed,Liverpool,5,4–0,0.5,Red Star,53024,Anfield,Daniel Siebert,Match Report,
Group stage,3,Wed,Barcelona,2.2,2–0,1,Inter,86290,Camp Nou,Ovidiu Hațegan,Match Report,
Group stage,3,Wed,Paris S-G,1.1,2–2,1.7,Napoli,46274,Parc des Princes,Tobias Stieler,Match Report,
Group stage,3,Wed,Dortmund,2,4–0,0.6,Atletico Madrid,66099,Signal Iduna Park,Anthony Taylor,Match Report,
Group stage,3,Wed,Loko Moscow,2.1,1–3,1.5,Porto,16034,RZD Arena,John Beaton,Match Report,
Group stage,3,Wed,Galatasaray,0.6,0–0,2.2,Schalke 04,46667,Türk Telekom Arena,Benoît Bastien,Match Report,
Group stage,4,Tue,Red Star,0.7,2–0,2.2,Liverpool,51318,Stadion Rajko Mitić,Antonio Mateu Lahoz,Match Report,
Group stage,4,Tue,Monaco,1.1,0–4,1.9,Club Brugge,8347,Stade Louis II,Hugo Miguel,Match Report,
Group stage,4,Tue,Porto,1.4,4–1,0.7,ru Loko Moscow,34616,Estadio Do Dragão,Massimiliano Irrati,Match Report,
Group stage,4,Tue,Tottenham,3.5,2–1,0.6,PSV Eindhoven,46588,Wembley Stadium,Filip Glova,Match Report,
Group stage,4,Tue,Napoli,2,1–1,1.3,Paris S-G,55489,Stadio San Paolo,Björn Kuipers,Match Report,
Group stage,4,Tue,Schalke 04,1.5,2–0,0.7,Galatasaray,54740,Veltins-Arena,William Collum,Match Report,
Group stage,4,Tue,Atletico Madrid,1.5,2–0,0.6,Dortmund,61023,Estadio Wanda Metropolitano,Daniele Orsato,Match Report,
Group stage,4,Tue,Inter,1,1–1,1.6,Barcelona,70915,Stadio Giuseppe Meazza,Szymon Marciniak,Match Report,
Group stage,4,Wed,Valencia,1.8,3–1,1,Young Boys,36480,Estadio de Mestalla,Istvan Kovacs,Match Report,
Group stage,4,Wed,Benfica,1.4,1–1,1.6,Ajax,51328,Estadio do Sport Lisboa e Benfica,Luca Banti,Match Report,
Group stage,4,Wed,Manchester City,3.4,6–0,0.4,Shakhtar,52286,Etihad Stadium,Sandor Andó-Szabó,Match Report,
Group stage,4,Wed,CSKA Moscow,1.1,1–2,2.4,Roma,64454,VEB Arena,Baris simsek,Match Report,
Group stage,4,Wed,Viktoria Plzen,0.5,0–5,1.6,Real Madrid,11483,Doosan Arena,Deniz Aytekin,Match Report,
Group stage,4,Wed,Bayern Munich,2.7,2–0,0.4,AEK Athens,70000,Allianz Arena,Slavko Vinčič,Match Report,
Group stage,4,Wed,Lyon,2.5,2–2,1.9,Hoffenheim,53850,Groupama Stadium,Danny Makkelie,Match Report,
Group stage,4,Wed,Juventus,1.9,1–2,0.8,Manchester Utd,41470,Allianz Stadium,Ovidiu Hațegan,Match Report,
Group stage,5,Tue,AEK Athens,0.4,0–2,2.2,Ajax,25756,Olympiako Stadio Spyros Louis,Michael Oliver,Match Report,
Group stage,5,Tue,Manchester Utd,1.3,1–0,0.6,Young Boys,72876,Old Trafford,Felix Brych,Match Report,
Group stage,5,Tue,CSKA Moscow,2.2,1–2,2,Viktoria Plzen,52892,VEB Arena,Jochem Kamphuis,Match Report,
Group stage,5,Tue,Roma,2.1,0–2,1.7,Real Madrid,59124,Stadio Olimpico,Ruddy Buquet,Match Report,
Group stage,5,Tue,Juventus,1.8,1–0,0.3,Valencia,39070,Allianz Stadium,William Collum,Match Report,
Group stage,5,Tue,Lyon,2.3,2–2,1,Manchester City,56039,Groupama Stadium,Luca Banti,Match Report,
Group stage,5,Tue,Hoffenheim,1.3,2–3,2.1,Shakhtar,22920,PreZero Arena,Filip Glova,Match Report,
Group stage,5,Tue,Bayern Munich,1.9,5–1,0.5,Benfica,70000,Allianz Arena,Daniele Orsato,Match Report,
Group stage,5,Wed,Atletico Madrid,0.9,2–0,1.3,Monaco,56314,Estadio Wanda Metropolitano,Mattias Gestranius,Match Report,
Group stage,5,Wed,Tottenham,1.3,1–0,1,Inter,57132,Wembley Stadium,Baris simsek,Match Report,
Group stage,5,Wed,Porto,1.6,3–1,0.9,Schalke 04,41603,Estadio Do Dragão,Ovidiu Hațegan,Match Report,
Group stage,5,Wed,Loko Moscow,1.4,2–0,1.3,Galatasaray,14037,RZD Arena,Antonio Mateu Lahoz,Match Report,
Group stage,5,Wed,Paris S-G,1.5,2–1,1.3,Liverpool,46880,Parc des Princes,Tomasz Musiał,Match Report,
Group stage,5,Wed,Dortmund,1.2,0–0,0.3,Club Brugge,66099,Signal Iduna Park,Gediminas Mažeika,Match Report,
Group stage,5,Wed,Napoli,2.4,3–1,0.8,Red Star,44470,Stadio San Paolo,Ricardo de Burgos,Match Report,
Group stage,5,Wed,PSV Eindhoven,3,1–2,2.4,Barcelona,34600,Philips Stadion,Miroslav Zelinka,Match Report,
Group stage,6,Tue,Schalke 04,2.1,1–0,0.7,ru Loko Moscow,48883,Veltins-Arena,Tasos Sidiropoulos,Match Report,
Group stage,6,Tue,Liverpool,3,1–0,1.2,Napoli,52015,Anfield,Damir Skomina,Match Report,
Group stage,6,Tue,Galatasaray,3.9,2–3,1.7,Porto,33972,Türk Telekom Arena,Aliaksei Kulbakou,Match Report,
Group stage,6,Tue,Red Star,0.4,1–4,2.9,Paris S-G,48357,Stadion Rajko Mitić,William Collum,Match Report,
Group stage,6,Tue,Monaco,0.6,0–2,2.6,Dortmund,8731,Stade Louis II,Craig Pawson,Match Report,
Group stage,6,Tue,Club Brugge,0.6,0–0,0.4,Atletico Madrid,25645,Jan Breydelstadion,Davide Massa,Match Report,
Group stage,6,Tue,Barcelona,1.3,1–1,2.4,Tottenham,69961,Camp Nou,Milorad Mažić,Match Report,
Group stage,6,Tue,Inter,1.9,1–1,1.2,PSV Eindhoven,62533,Stadio Giuseppe Meazza,Felix Zwayer,Match Report,
Group stage,6,Wed,Viktoria Plzen,2,2–1,1.1,Roma,11217,Doosan Arena,Anthony Taylor,Match Report,
Group stage,6,Wed,Real Madrid,1.3,0–3,0.9,ru CSKA Moscow,51636,Estadio Santiago Bernabeu,Hugo Miguel,Match Report,
Group stage,6,Wed,Manchester City,3.4,2–1,1.4,Hoffenheim,50411,Etihad Stadium,Andreas Ekberg,Match Report,
Group stage,6,Wed,Benfica,1.8,1–0,0.4,AEK Athens,33633,Estadio do Sport Lisboa e Benfica,Bobby Madden,Match Report,
Group stage,6,Wed,Valencia,1.4,2–1,1.8,Manchester Utd,36544,Estadio de Mestalla,Georgi Kabakov,Match Report,
Group stage,6,Wed,Young Boys,1.2,2–1,2.1,Juventus,30114,Stade de Suisse Wankdorf Bern,Tobias Stieler,Match Report,
Group stage,6,Wed,Ajax,3,3–3,3.1,Bayern Munich,52244,Johan Cruyff ArenA,Clement Turpin,Match Report,
Group stage,6,Wed,Shakhtar,1.1,1–1,1.3,Lyon,38916,NSK Olimpijs'kyj,Björn Kuipers,Match Report,
Round of 16,,Tue,Manchester Utd,0.4,0–2,2.5,Paris S-G,74054,Old Trafford,Daniele Orsato,Match Report,Leg 1 of 2
Round of 16,,Tue,Roma,1.5,2–1,0.6,Porto,51727,Stadio Olimpico,Jochem Kamphuis,Match Report,Leg 1 of 2
Round of 16,,Wed,Tottenham,1.8,3–0,0.3,Dortmund,71214,Wembley Stadium,Antonio Mateu Lahoz,Match Report,Leg 1 of 2
Round of 16,,Wed,Ajax,2.2,1–2,1.5,Real Madrid,52286,Johan Cruyff ArenA,Szymon Marciniak,Match Report,Leg 1 of 2
Round of 16,,Tue,Liverpool,2.1,0–0,0.4,Bayern Munich,52250,Anfield,Gianluca Rocchi,Match Report,Leg 1 of 2
Round of 16,,Tue,Lyon,0.3,0–0,2.1,Barcelona,57889,Groupama Stadium,Cüneyt Çakιr,Match Report,Leg 1 of 2
Round of 16,,Wed,Schalke 04,1.8,2–3,1.6,Manchester City,54417,Veltins-Arena,Alejandro Hernandez,Match Report,Leg 1 of 2
Round of 16,,Wed,Atletico Madrid,1.4,2–0,0.7,Juventus,67193,Estadio Wanda Metropolitano,Felix Zwayer,Match Report,Leg 1 of 2
Round of 16,,Tue,Real Madrid,2.5,1–4,2.6,Ajax,77013,Estadio Santiago Bernabeu,Felix Brych,Match Report,Leg 2 of 2; Ajax won
Round of 16,,Tue,Dortmund,1.4,0–1,1,Tottenham,66099,Signal Iduna Park,Danny Makkelie,Match Report,Leg 2 of 2; Tottenham won
Round of 16,,Wed,Porto,4.2,3–1,1.9,Roma,49029,Estadio Do Dragão,Paweł Gil,Match Report,Leg 2 of 2; Porto won; Required Extra Time
Round of 16,,Wed,Paris S-G,1.4,1–3,2.1,Manchester Utd,47441,Parc des Princes,Damir Skomina,Match Report,Leg 2 of 2; Manchester Utd won
Round of 16,,Tue,Manchester City,3.7,7–0,0.1,Schalke 04,51518,Etihad Stadium,Clement Turpin,Match Report,Leg 2 of 2; Manchester City won
