Round,Wk,Day,Home,xG,Score,xGA,Away,Attendance,Venue,Referee,Match Report,Notes
League phase,1,Tue,Juventus,2.9,3–1,1,PSV Eindhoven,40417,Allianz Stadium,Alejandro Hernández,Match Report,
League phase,1,Tue,Sporting CP,1.6,2–0,0.4,Lille,40024,Estádio José Alvalade,Donatas Rumšas,Match Report,
League phase,1,Tue,Real Madrid,2.6,3–1,1.9,Stuttgart,71288,Estadio Santiago Bernabéu,Halil Umut Meler,Match Report,
League phase,1,Tue,Milan,0.6,1–3,3.1,Liverpool,59826,Stadio Giuseppe Meazza,Espen Eskås,Match Report,
League phase,1,Tue,Bayern Munich,5.9,9–2,0.7,Dinamo Zagreb,75000,Allianz Arena,Juan Martínez,Match Report,
League phase,1,Wed,Bologna,1.2,0–0,0.9,Shakhtar,23130,Stadio Renato Dall'Ara,Rohit Saggi,Match Report,
League phase,1,Wed,Sparta Prague,2.5,3–0,0.6,RB Salzburg,17612,epet Arena,Rade Obrenović,Match Report,
League phase,1,Wed,Celtic,3.8,5–1,0.5,Slovan Bratislava,56826,Celtic Park,Danny Makkelie,Match Report,
League phase,1,Wed,Manchester City,2.3,0–0,0.7,Inter,50922,Etihad Stadium,Glenn Nyberg,Match Report,
League phase,1,Wed,Paris S-G,2.1,1–0,0.2,Girona,39951,Parc des Princes,Daniel Siebert,Match Report,
League phase,1,Wed,Club Brugge,1.2,0–3,1.9,Dortmund,19961,Jan Breydelstadion,Irfan Peljto,Match Report,
League phase,1,Thu,Feyenoord,0.8,0–4,1.7,Leverkusen,42297,Stadion Feijenoord,Davide Massa,Match Report,
League phase,1,Thu,Red Star,1,1–2,1.3,Benfica,44238,Stadion Rajko Mitić,Michael Oliver,Match Report,
League phase,1,Thu,Atalanta,1.2,0–0,0.8,Arsenal,22858,Gewiss Stadium,Clément Turpin,Match Report,
League phase,1,Thu,Brest,2.1,2–1,0.5,Sturm Graz,14518,Stade du Roudourou,Nick Walsh,Match Report,
League phase,1,Thu,Monaco,1.3,2–1,0.4,Barcelona,13296,Stade Louis II,Allard Lindhout,Match Report,
League phase,1,Thu,Atletico Madrid,1.7,2–1,0.7,RB Leipzig,57856,Riyadh Air Metropolitan Stadium,Ivan Kružliak,Match Report,
League phase,2,Tue,Stuttgart,1.7,1–1,1,Sparta Prague,60000,MHPArena,Manfredas Lukjančukas,Match Report,
League phase,2,Tue,RB Salzburg,1.6,0–4,2,Brest,20232,Red Bull Arena,Anthony Taylor,Match Report,
League phase,2,Tue,Arsenal,0.7,2–0,0.4,Paris S-G,60103,Emirates Stadium,Slavko Vinčič,Match Report,
League phase,2,Tue,Inter,2.8,4–0,0.5,Red Star,56391,Stadio Giuseppe Meazza,Felix Zwayer,Match Report,
League phase,2,Tue,Leverkusen,1.8,1–0,1,Milan,30210,BayArena,Sandro Schärer,Match Report,
League phase,2,Tue,Dortmund,2.6,7–1,2.1,Celtic,81365,Signal Iduna Park,Jose Maria Sánchez,Match Report,
League phase,2,Tue,Barcelona,3.4,5–0,0.8,Young Boys,45097,Estadi Olímpic Lluís Companys,Erik Lambrechts,Match Report,
League phase,2,Tue,PSV Eindhoven,2.6,1–1,1.3,Sporting CP,34400,Philips Stadion,Marco Guida,Match Report,
League phase,2,Tue,Slovan Bratislava,0.1,0–4,3.7,Manchester City,22500,Štadión Tehelné pole,Davide Massa,Match Report,
League phase,2,Wed,Girona,2.2,2–3,1.9,Feyenoord,8752,Estadi Municipal de Montilivi,Urs Schnyder,Match Report,
League phase,2,Wed,Shakhtar,0.3,0–3,2.6,Atalanta,21636,Veltins-Arena,João Pinheiro,Match Report,
League phase,2,Wed,Aston Villa,0.4,1–0,1.5,Bayern Munich,38991,Villa Park,Radu Petrescu,Match Report,
League phase,2,Wed,Liverpool,1.2,2–0,0.6,Bologna,59816,Anfield,Nikola Dabanović,Match Report,
