Team,HG,HGA,AG,AGA
Argentina,1.46,0.38,1.33,0.92
Bolivia,1.62,1.38,0.54,3.08
Brazil,2.54,0.38,1.54,0.75
Chile,1.5,1.08,0.75,1.96
Colombia,1.42,0.79,0.92,1.21
Ecuador,1.71,0.88,0.96,1.29
Paraguay,1.08,1.12,0.54,1.29
Peru,1.25,1.25,0.79,1.38
Uruguay,1.83,0.71,1.12,1.42
Venezuela,1.17,1.21,0.67,2.29
